Method,Size,Elapsed
1,1000,6.86e-05
1,5000,0.0001566
1,10000,0.0002579
1,50000,0.0008748
1,100000,0.0014675
1,500000,0.0064743
1,1000000,0.0117908
1,5000000,0.0813757
1,10000000,0.1549214
1,50000000,0.77644
1,100000000,1.5263998
2,1000,0.0001013
2,5000,0.0003449
2,10000,0.0006707
2,50000,0.0037908
2,100000,0.0074537
2,500000,0.022909
2,1000000,0.040668
2,5000000,0.2153661
2,10000000,0.424995
2,50000000,2.0641155
2,100000000,4.12075
3,1000,0.0383685
3,5000,0.0254994
3,10000,0.0187417
3,50000,0.0594937
3,100000,0.0636071
3,500000,0.0756569
3,1000000,0.0855692
3,5000000,0.1976035
3,10000000,0.3412723
3,50000000,1.744514
3,100000000,3.4446257
